Unnamed: 0,val_acc,test_acc,epoch,train_loss,prune_type
0,0.0994,0.1164,1,4.046196509769985,ERK
1,0.1546,0.1713,2,3.541950689043317,ERK
2,0.2096,0.2405,3,3.248348719733102,ERK
3,0.2454,0.2551,4,3.0319077491760256,ERK
4,0.2726,0.2928,5,2.836919513429914,ERK
5,0.2904,0.3057,6,2.6896725259508405,ERK
6,0.317,0.3386,7,2.546880088533674,ERK
7,0.3176,0.3493,8,2.4561584295545305,ERK
8,0.346,0.3793,9,2.3707199927738736,ERK
9,0.3422,0.3708,10,2.299086550303868,ERK
10,0.3412,0.3655,11,2.24426479952676,ERK
11,0.3772,0.4103,12,2.1792499153954643,ERK
12,0.3742,0.403,13,2.1435502467836653,ERK
13,0.38,0.4184,14,2.0925277437482563,ERK
14,0.3842,0.4043,15,2.0560117857796807,ERK
15,0.3846,0.4121,16,2.023850234576634,ERK
16,0.3978,0.4256,17,1.9913952091762,ERK
17,0.389,0.4249,18,1.9587314898627144,ERK
18,0.3968,0.4284,19,1.934343911579677,ERK
19,0.3876,0.4211,20,1.909711434500558,ERK
20,0.403,0.4304,21,1.8958087417057583,ERK
21,0.4058,0.4465,22,1.862480152675084,ERK
22,0.4074,0.4241,23,1.8415140758241928,ERK
23,0.4108,0.4448,24,1.822414595740182,ERK
24,0.424,0.454,25,1.8161023092269897,ERK
25,0.398,0.4183,26,1.7827841758728027,ERK
26,0.4206,0.4655,27,1.7684154094968525,ERK
27,0.4342,0.4764,28,1.7700774839946205,ERK
28,0.4196,0.4416,29,1.7487378065926689,ERK
29,0.4488,0.4729,30,1.731227788243975,ERK
30,0.427,0.4606,31,1.715147991861616,ERK
31,0.4242,0.4563,32,1.7124231406620571,ERK
32,0.4502,0.4694,33,1.6863357864107404,ERK
33,0.431,0.4494,34,1.6827739667892456,ERK
34,0.4428,0.4751,35,1.6740694788524082,ERK
35,0.4376,0.4736,36,1.6518283912113734,ERK
36,0.4462,0.4821,37,1.6538288824898857,ERK
37,0.4186,0.4598,38,1.6438731711251395,ERK
38,0.4422,0.4728,39,1.6432634673799786,ERK
39,0.4406,0.471,40,1.6165133496693205,ERK
40,0.4258,0.4409,41,1.623509428841727,ERK
41,0.4346,0.4684,42,1.6056463602610995,ERK
42,0.443,0.4826,43,1.6059711354119437,ERK
43,0.4572,0.4878,44,1.5985775198255263,ERK
44,0.439,0.4751,45,1.5866931533813478,ERK
45,0.4428,0.4776,46,1.5887118210111346,ERK
46,0.441,0.4732,47,1.577645468711853,ERK
47,0.4538,0.473,48,1.5647913994107927,ERK
48,0.4368,0.48,49,1.560108449799674,ERK
49,0.445,0.4676,50,1.5518607943398612,ERK
50,0.4644,0.5064,51,1.5562254919324603,ERK
51,0.4448,0.4784,52,1.5462988492420742,ERK
52,0.4402,0.4599,53,1.538590055874416,ERK
53,0.4528,0.4859,54,1.540187839780535,ERK
54,0.45,0.4807,55,1.532856902394976,ERK
55,0.4554,0.4823,56,1.5171952908379691,ERK
56,0.4464,0.4854,57,1.524706666128976,ERK
57,0.4532,0.4803,58,1.5178990248271398,ERK
58,0.4476,0.4736,59,1.513513410431998,ERK
59,0.4528,0.4915,60,1.4983094242640904,ERK
60,0.4624,0.4959,61,1.498191682270595,ERK
61,0.4436,0.479,62,1.4941841452462332,ERK
62,0.4226,0.4452,63,1.5003832387924194,ERK
63,0.4682,0.4955,64,1.490655117716108,ERK
64,0.4344,0.4582,65,1.4793584196908134,ERK
65,0.4674,0.4965,66,1.4854997485024588,ERK
66,0.4442,0.4758,67,1.47037497316088,ERK
67,0.4334,0.4755,68,1.488784179006304,ERK
68,0.4584,0.4935,69,1.4761748790740967,ERK
