Unnamed: 0,val_acc,test_acc,epoch,train_loss,prune_type
0,0.0562,0.0589,1,4.303393812179565,ERK
1,0.0714,0.0724,2,3.9279611546652657,ERK
2,0.1242,0.1354,3,3.6858812155042378,ERK
3,0.164,0.1623,4,3.3701076126098632,ERK
4,0.2378,0.2477,5,3.0573600128718783,ERK
5,0.268,0.2769,6,2.822337920325143,ERK
6,0.3014,0.3204,7,2.638436226163592,ERK
7,0.3436,0.3571,8,2.488117341995239,ERK
8,0.253,0.2679,9,2.351139634677342,ERK
9,0.3074,0.331,10,2.233150380679539,ERK
10,0.3396,0.3596,11,2.133331439835685,ERK
11,0.3774,0.3942,12,2.0521517964771814,ERK
12,0.388,0.4013,13,1.975757485117231,ERK
13,0.4056,0.4195,14,1.913152848652431,ERK
14,0.44,0.4617,15,1.8593019648960656,ERK
15,0.4122,0.4381,16,1.8066679995400563,ERK
16,0.4034,0.4292,17,1.7735497202192034,ERK
17,0.4344,0.4665,18,1.7185314907346454,ERK
18,0.464,0.4937,19,1.6825405550003052,ERK
19,0.4476,0.4689,20,1.647366988318307,ERK
20,0.4554,0.4644,21,1.623580310685294,ERK
21,0.4708,0.4932,22,1.5930869838169643,ERK
22,0.4334,0.4609,23,1.5804013068335396,ERK
23,0.4658,0.4935,24,1.537945420401437,ERK
24,0.4802,0.4793,25,1.5364981481007167,ERK
25,0.4438,0.4852,26,1.5089931338174003,ERK
26,0.5044,0.5232,27,1.485406553404672,ERK
27,0.4742,0.4945,28,1.4733551243373326,ERK
28,0.4994,0.5138,29,1.4630792808532715,ERK
29,0.4842,0.5037,30,1.4311394391741072,ERK
30,0.4432,0.4699,31,1.4165653494426182,ERK
31,0.4874,0.5145,32,1.3962091827392578,ERK
32,0.4866,0.4952,33,1.3900432763780866,ERK
33,0.4948,0.4996,34,1.377438039098467,ERK
34,0.4604,0.4747,35,1.3835686247689385,ERK
35,0.506,0.5204,36,1.3556322581427438,ERK
36,0.4902,0.5104,37,1.3409034538269042,ERK
37,0.482,0.4905,38,1.3468370635168894,ERK
38,0.4772,0.4906,39,1.3190770285470146,ERK
39,0.5208,0.5254,40,1.3218985625675743,ERK
40,0.5224,0.5462,41,1.3150440393175398,ERK
41,0.4978,0.5022,42,1.3040094443729946,ERK
42,0.5154,0.5288,43,1.297105918271201,ERK
43,0.4886,0.511,44,1.2707848909923007,ERK
44,0.5296,0.5437,45,1.2822300522668022,ERK
45,0.482,0.511,46,1.285270951475416,ERK
46,0.4984,0.5199,47,1.2795481531960624,ERK
47,0.5108,0.5155,48,1.2518629332951137,ERK
48,0.55,0.56,49,1.2580474431174142,ERK
49,0.5284,0.5427,50,1.254904386316027,ERK
50,0.5136,0.5348,51,1.2511823878969466,ERK
51,0.5038,0.5198,52,1.2476766685077123,ERK
52,0.5208,0.5477,53,1.2260903688839504,ERK
53,0.4782,0.5017,54,1.2214955285617284,ERK
54,0.5354,0.5557,55,1.2164600893429347,ERK
55,0.5046,0.528,56,1.2164277676173618,ERK
56,0.5068,0.5212,57,1.2285657978057862,ERK
