prune_type,layer,sparsity,sm,sm_ub,rm,rm_ub,ism,irm,ism_norm,irm_norm,t1m,t2m,ep,imax_ep,i_mean_ep,num_sub_regulars,random_factor,copeland_score,compatibility,overlap_coefs
ERK,features.0,1.0,12.738792541931106,12.738794526419214,13.036271462298448,13.036273446786556,12.738794833864016,13.03627315532113,0.9999999771198592,0.9999999776419675,41.56922149658203,1.9844881080643972e-06,2.3703703703703702,2.3703703703703702,2.3703703703703702,2.3703703703703702,-0.9759437441825867,1.0,1.0,1.0
ERK,features.3,1.0,27.640554004108605,27.640554338519063,31.916411215346912,31.91641154975737,27.640539068215798,31.916396279454105,0.9999994475399053,0.9999995215532536,192.00006103515625,3.34410458435741e-07,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9947916865348816,1.0,1.0,1.0
ERK,features.7,1.0,32.895532089723,32.895532962200015,35.248584413671225,35.24858528614824,32.895470069815424,35.248524249187554,0.9999981445211968,0.9999982683855199,271.5290222167969,8.724770168555551e-07,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,-0.9963171482086182,1.0,1.0,1.0
ERK,features.10,1.0,39.14075040558849,39.14078093781312,45.19578804473476,45.19581857695939,39.140786815967104,45.19581821761377,0.9999999908191519,0.9999999920491401,384.00018310546875,3.053222462767735e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9973958134651184,0.7753058671951294,1.0,1.0
ERK,features.14,0.7753058539496528,20.35141496067144,41.00307397251226,23.269957669648562,43.92161668148938,7.626527652491414,10.178247471348698,0.4528185209395351,0.5384804139346502,421.3130187988281,20.65165901184082,0.2222222222222222,51.2,14.53411882115862,14.53411882115862,-0.5771267414093018,0.6662855744361877,1.0,0.1400569348144134
ERK,features.17,0.5164591471354166,7.94493861514492,39.82158084231777,14.058952388736728,45.93559461590958,3.9134445620788685,5.23474391968386,0.24182547930865014,0.31440515320333495,397.4395751953125,31.87664222717285,0.1111111111111111,36.0,7.940267086029053,7.940267086029053,-0.18438874185085297,0.998620331287384,1.0,0.005741252978982808
ERK,features.20,0.5155131022135416,8.248456185046287,39.78718871373281,14.354663994367499,45.89339652305402,3.9111909909200118,5.293960698030637,0.24583467447161025,0.3191186494403665,396.7550964355469,31.538732528686523,0.1111111111111111,31.875,8.163447380065918,8.163447380065918,-0.19041816890239716,0.7479565143585205,1.0,0.004963634836433783
ERK,features.24,0.38543277316623265,6.796140193105096,40.90991735374963,9.681585153232831,43.79536231387736,1.1630090710142462,4.105511803299524,0.06488393656293949,0.22772105946435117,419.40533447265625,34.11377716064453,0.2222222222222222,56.55555725097656,16.500253677368164,16.500253677368164,-0.11664247512817383,0.6666525602340698,1.0,0.0005342731241915588
ERK,features.27,0.2567732069227431,0.39107903133919564,39.73073586117318,6.4658913529861834,45.80554818282017,0.7470357891084141,2.3388643642288622,0.03408157641270477,0.14567662131841375,395.6328430175781,39.339656829833984,0.1111111111111111,35.21428680419922,10.399796485900879,10.399796485900879,-0.004232751205563545,0.9996011257171631,1.0,1.6983695652173913e-05
ERK,features.30,0.256508297390408,0.24452138151838199,39.708735706469554,6.317639000858598,45.78185332580977,0.6874211019019544,2.3475864816305934,0.02942563886352294,0.1472562667619578,395.1959228515625,39.46421432495117,0.1111111111111111,49.900001525878906,11.643142700195312,11.643142700195312,-0.002370251575484872,1.000217080116272,1.0,4.8964898459383756e-05
