Unnamed: 0,val_acc,test_acc,epoch,train_loss,prune_type
0,0.0992,0.1023,1,4.0586675248827255,ERK
1,0.1534,0.1612,2,3.585914775303432,ERK
2,0.2024,0.228,3,3.266320281709944,ERK
3,0.227,0.2502,4,3.029964824404036,ERK
4,0.27,0.3031,5,2.8362345259530204,ERK
5,0.3028,0.323,6,2.677312718800136,ERK
6,0.2924,0.3202,7,2.539373472758702,ERK
7,0.3248,0.3557,8,2.442562428883144,ERK
8,0.344,0.377,9,2.340883835383824,ERK
9,0.3554,0.3895,10,2.259227920259748,ERK
10,0.3576,0.3906,11,2.183245596204485,ERK
11,0.372,0.4111,12,2.118504317828587,ERK
12,0.4076,0.4387,13,2.0740872076579504,ERK
13,0.391,0.4222,14,2.009590150969369,ERK
14,0.3958,0.4293,15,1.9652027722767424,ERK
15,0.4,0.43,16,1.9210212979997907,ERK
16,0.368,0.4116,17,1.8806761373792376,ERK
17,0.4078,0.4397,18,1.839570956230164,ERK
18,0.4184,0.442,19,1.8124216549737115,ERK
19,0.4058,0.4344,20,1.7776814011165074,ERK
20,0.3982,0.4395,21,1.7633856460026331,ERK
21,0.437,0.4641,22,1.7243470355442592,ERK
22,0.4098,0.4444,23,1.7117640222821917,ERK
23,0.418,0.4538,24,1.679625049999782,ERK
24,0.4382,0.4686,25,1.6669072573525563,ERK
25,0.4418,0.4669,26,1.635240753037589,ERK
26,0.4412,0.4785,27,1.6144125706808907,ERK
27,0.458,0.4872,28,1.5893894754137312,ERK
28,0.4346,0.4559,29,1.573018375805446,ERK
29,0.4492,0.4739,30,1.552671119144985,ERK
30,0.4462,0.4703,31,1.5349394811902728,ERK
31,0.4508,0.4782,32,1.5220404093606132,ERK
32,0.4526,0.4706,33,1.5012786545072283,ERK
33,0.4424,0.4776,34,1.494190626825605,ERK
34,0.4586,0.4854,35,1.4809493807383949,ERK
35,0.4478,0.4936,36,1.4682020092010497,ERK
36,0.4638,0.5032,37,1.450805880001613,ERK
37,0.4674,0.5005,38,1.4362256813049317,ERK
38,0.4696,0.501,39,1.4291662781579153,ERK
39,0.4562,0.4864,40,1.414185629572187,ERK
40,0.4578,0.4886,41,1.402339344024658,ERK
41,0.4462,0.4789,42,1.3825071382522582,ERK
42,0.4724,0.5041,43,1.3842556156430923,ERK
43,0.476,0.5057,44,1.376630028315953,ERK
44,0.4322,0.4702,45,1.3657494061333793,ERK
45,0.4504,0.4805,46,1.3619220549719675,ERK
46,0.4554,0.4866,47,1.3489817346845354,ERK
47,0.4604,0.4891,48,1.3370402261189052,ERK
48,0.4672,0.4999,49,1.3239188350949969,ERK
49,0.4632,0.4922,50,1.3209349080494472,ERK
50,0.4686,0.5053,51,1.3130268056052072,ERK
51,0.4628,0.4831,52,1.308300150462559,ERK
52,0.46,0.4959,53,1.2938090825080872,ERK
53,0.4596,0.4907,54,1.289370242527553,ERK
54,0.4366,0.4698,55,1.2818277951649255,ERK
55,0.465,0.4981,56,1.282952401297433,ERK
56,0.4698,0.5001,57,1.2686560344696045,ERK
57,0.4652,0.4887,58,1.2710334123883928,ERK
58,0.433,0.4601,59,1.2515162410054887,ERK
59,0.4754,0.5051,60,1.253291735989707,ERK
60,0.4642,0.4953,61,1.238517451967512,ERK
61,0.4632,0.5011,62,1.2396232451711382,ERK
62,0.4546,0.4836,63,1.2296098000662667,ERK
63,0.481,0.5111,64,1.228516935961587,ERK
64,0.4584,0.4872,65,1.2115996721812656,ERK
65,0.457,0.4792,66,1.235716142654419,ERK
66,0.4764,0.5023,67,1.2167416490827287,ERK
67,0.4654,0.4907,68,1.207954317842211,ERK
68,0.47,0.4959,69,1.2095408456666128,ERK
69,0.4832,0.5141,70,1.20097163609096,ERK
70,0.4536,0.4839,71,1.1993284470694403,ERK
71,0.4616,0.4873,72,1.184932884829385,ERK
72,0.4544,0.4882,73,1.1747636355672564,ERK
73,0.4758,0.5058,74,1.1930415449823653,ERK
74,0.4696,0.501,75,1.1649173719542367,ERK
75,0.4606,0.4939,76,1.1684762702669416,ERK
76,0.485,0.5104,77,1.1812137709345136,ERK
77,0.4646,0.5045,78,1.157625890118735,ERK
78,0.4496,0.4746,79,1.1536304436411176,ERK
79,0.4688,0.4962,80,1.1627300684792654,ERK
80,0.4716,0.5035,81,1.1574336859158108,ERK
81,0.463,0.4879,82,1.14633090870721,ERK
82,0.4702,0.4973,83,1.1533670343671527,ERK
83,0.4724,0.5048,84,1.1336488689695086,ERK
84,0.459,0.4807,85,1.1288032123020717,ERK
85,0.4606,0.4888,86,1.1340184303692409,ERK
86,0.4566,0.4912,87,1.1520629559244429,ERK
87,0.4754,0.5085,88,1.133119236060551,ERK
88,0.4804,0.52,89,1.1222129143987385,ERK
89,0.469,0.4925,90,1.12821165731975,ERK
90,0.4618,0.4855,91,1.1147133006368364,ERK
91,0.4816,0.5054,92,1.1198788455554418,ERK
92,0.4708,0.5092,93,1.1024000031607493,ERK
93,0.474,0.5098,94,1.1158602132116044,ERK
94,0.4724,0.4915,95,1.1054732751846317,ERK
95,0.4656,0.5049,96,1.102429609298706,ERK
96,0.4604,0.4806,97,1.11240159034729,ERK
97,0.4682,0.5026,98,1.1004066807883126,ERK
98,0.48,0.5134,99,1.097124354498727,ERK
99,0.4752,0.5024,100,1.1019410024370466,ERK
100,0.4648,0.4863,101,1.0896253912789482,ERK
101,0.4578,0.4872,102,1.0969894766807555,ERK
102,0.4594,0.4965,103,1.0917398588997975,ERK
103,0.4692,0.4959,104,1.0894041095461164,ERK
104,0.4656,0.4942,105,1.0751443348612104,ERK
105,0.4726,0.5028,106,1.071962058544159,ERK
106,0.4552,0.4923,107,1.0691143304961068,ERK
107,0.4564,0.4881,108,1.0890275277410235,ERK
108,0.4634,0.4944,109,1.075057029042925,ERK
109,0.4642,0.4898,110,1.069901666641235,ERK
110,0.4772,0.5141,111,1.066012212889535,ERK
111,0.4742,0.5038,112,1.0631865736416408,ERK
112,0.464,0.4942,113,1.0692800491196768,ERK
113,0.4796,0.5154,114,1.054810361862183,ERK
114,0.4776,0.5076,115,1.0587896037101745,ERK
115,0.4872,0.5159,116,1.0730224558285304,ERK
116,0.4864,0.5145,117,1.0603165251868112,ERK
117,0.4676,0.5014,118,1.045324114390782,ERK
118,0.465,0.5016,119,1.0610788188661848,ERK
119,0.477,0.5094,120,1.060204121044704,ERK
120,0.4668,0.4992,121,1.0598566842079162,ERK
121,0.4818,0.4949,122,1.046005584512438,ERK
122,0.4718,0.494,123,1.0452473541668483,ERK
123,0.481,0.5027,124,1.0523017845835003,ERK
124,0.4728,0.5005,125,1.0423547451836723,ERK
125,0.5724,0.5981,126,0.630177218403135,ERK
126,0.5786,0.6044,127,0.4434349576064518,ERK
127,0.5842,0.6043,128,0.3692717129843575,ERK
128,0.5842,0.6031,129,0.3199284371307918,ERK
129,0.588,0.6076,130,0.2833665482486997,ERK
130,0.5828,0.6017,131,0.2545818422521864,ERK
131,0.5846,0.6063,132,0.2265563131230218,ERK
132,0.5968,0.6054,133,0.2066884590898241,ERK
133,0.5818,0.6054,134,0.1849523112603596,ERK
134,0.5916,0.6053,135,0.1693569860288075,ERK
135,0.5892,0.604,136,0.1551433914474078,ERK
136,0.579,0.6088,137,0.1444783767632075,ERK
137,0.5852,0.608,138,0.1328792536684445,ERK
138,0.5904,0.5999,139,0.1249585489715848,ERK
139,0.592,0.6054,140,0.1142385968991688,ERK
140,0.591,0.6032,141,0.1067889087540762,ERK
141,0.5832,0.605,142,0.0996802989499909,ERK
142,0.5826,0.6019,143,0.0948690712239061,ERK
143,0.5862,0.6024,144,0.0926543268774237,ERK
144,0.5828,0.6012,145,0.0858067648964268,ERK
145,0.5892,0.6024,146,0.0815553531476429,ERK
146,0.5868,0.6009,147,0.0774913474917411,ERK
147,0.5878,0.6009,148,0.0710215088512216,ERK
148,0.5816,0.6018,149,0.068694159494979,ERK
149,0.5858,0.6013,150,0.0667902085397924,ERK
150,0.5816,0.6049,151,0.0643187335133552,ERK
151,0.5786,0.6014,152,0.0622283706920487,ERK
152,0.5818,0.6061,153,0.0595191439773355,ERK
153,0.5866,0.6055,154,0.0582216387561389,ERK
154,0.5914,0.6015,155,0.0554460743495396,ERK
155,0.5884,0.6009,156,0.0532769399455615,ERK
156,0.5868,0.6004,157,0.0506742573848792,ERK
157,0.592,0.6045,158,0.0496201394924095,ERK
158,0.5822,0.6026,159,0.0460506453684398,ERK
159,0.5944,0.601,160,0.0467932613087551,ERK
160,0.5894,0.6032,161,0.045586877603616,ERK
161,0.5794,0.6031,162,0.0453872789868286,ERK
162,0.5828,0.6017,163,0.043956964037248,ERK
163,0.5842,0.6017,164,0.0415551290448222,ERK
164,0.587,0.603,165,0.0426674783549138,ERK
165,0.5832,0.6065,166,0.0399498398602008,ERK
166,0.582,0.6025,167,0.0408106462976762,ERK
167,0.5814,0.6052,168,0.0401053860464266,ERK
168,0.5828,0.6045,169,0.0396408355023179,ERK
169,0.5802,0.6018,170,0.0395409961364099,ERK
170,0.587,0.6058,171,0.0378000081011227,ERK
171,0.5868,0.6023,172,0.0391009057632514,ERK
172,0.5814,0.6032,173,0.0369731287232467,ERK
173,0.5872,0.604,174,0.0376740475531135,ERK
174,0.5834,0.6069,175,0.0376057797883238,ERK
175,0.5832,0.6008,176,0.0372072786412068,ERK
176,0.5736,0.5979,177,0.0387131222231047,ERK
177,0.5832,0.601,178,0.0371882064214774,ERK
178,0.5834,0.6054,179,0.0383367118345839,ERK
179,0.5832,0.6005,180,0.0383758007947887,ERK
180,0.586,0.6013,181,0.0350362331207309,ERK
181,0.587,0.5992,182,0.0362399621733597,ERK
182,0.5782,0.6025,183,0.0401052875710385,ERK
183,0.5836,0.6001,184,0.0389146134895937,ERK
184,0.5826,0.5993,185,0.0379034335591963,ERK
185,0.5842,0.599,186,0.0412828688323497,ERK
186,0.583,0.5974,187,0.0403603286296129,ERK
187,0.5856,0.6025,188,0.0314708009415439,ERK
188,0.5956,0.6052,189,0.0243524771290166,ERK
189,0.5868,0.6045,190,0.0223134077872548,ERK
190,0.5894,0.606,191,0.0203481629863381,ERK
191,0.583,0.6048,192,0.0200840154822383,ERK
192,0.5872,0.6097,193,0.0190336415650589,ERK
193,0.5916,0.6079,194,0.018219195886382,ERK
194,0.5854,0.6077,195,0.0174721067558441,ERK
195,0.59,0.6079,196,0.0173593721751655,ERK
196,0.5958,0.6091,197,0.0171487944466727,ERK
197,0.5996,0.6079,198,0.01579190839082,ERK
198,0.5962,0.6071,199,0.0159302245293344,ERK
199,0.5952,0.608,200,0.015379399705146,ERK
200,0.5988,0.6071,201,0.0150853853380041,ERK
201,0.5944,0.6077,202,0.0148617089566375,ERK
202,0.5908,0.6084,203,0.0148645540805799,ERK
203,0.5936,0.6059,204,0.0150025662566934,ERK
204,0.6,0.606,205,0.014619853004281,ERK
205,0.5954,0.6052,206,0.0142468516289123,ERK
206,0.5992,0.6065,207,0.0142759852616914,ERK
207,0.597,0.6077,208,0.0135946068220904,ERK
208,0.592,0.6065,209,0.0135174328141978,ERK
209,0.5904,0.6078,210,0.0139077834705156,ERK
210,0.5986,0.6075,211,0.013799853532442,ERK
211,0.5956,0.6071,212,0.0134389135374554,ERK
212,0.5948,0.6064,213,0.013325749885823,ERK
213,0.6036,0.6069,214,0.0129374068735965,ERK
214,0.5992,0.6067,215,0.0124088715868336,ERK
215,0.5972,0.6077,216,0.0126126145305378,ERK
216,0.5964,0.6086,217,0.0124905060710651,ERK
217,0.5932,0.6073,218,0.0125411046642277,ERK
218,0.5974,0.6075,219,0.0122144911784146,ERK
219,0.5938,0.6083,220,0.0125014660746923,ERK
220,0.5934,0.6071,221,0.0121918748877942,ERK
221,0.595,0.6083,222,0.0123292783408292,ERK
222,0.5946,0.61,223,0.0120351070937301,ERK
223,0.5982,0.6086,224,0.0118297353786017,ERK
224,0.5954,0.6083,225,0.0117924614836062,ERK
225,0.5904,0.6089,226,0.011937823710697,ERK
226,0.5928,0.6079,227,0.0119661725871264,ERK
227,0.5936,0.6066,228,0.0118043877370655,ERK
