prune_type,layer,sparsity,sm,sm_ub,rm,rm_ub,ism,irm,ism_norm,irm_norm,t1m,t2m,ep,imax_ep,i_mean_ep,num_sub_regulars,random_factor,copeland_score,compatibility,overlap_coefs
ERK,conv1,1.0,19.595390533617742,19.595391553046024,20.020298887360063,20.020299906788345,19.595377840333715,20.020284636690626,0.9999992207302179,0.9999992372692822,96.99484,1.0194283e-06,0.43537414965986393,0.43537414965986393,0.43537414965986393,0.43537414965986393,-0.9896901249885559,1.0,1.0,1.0
ERK,layer1.0.conv1,1.0,27.64053686387058,27.640552130344872,31.916396283283078,31.91641154975737,27.64053244810011,31.916396283861516,0.9999994476992276,0.9999995216913459,192.00003,1.5266474e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9947916865348816,1.0,1.0,1.0
ERK,layer1.0.conv2,1.0,27.640541177835726,27.640548818083257,31.91640390950984,31.91641154975737,27.640541183392738,31.91640391506685,0.99999972378658,0.9999997607910743,191.99998,7.6402475e-06,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9947916865348816,1.0,1.0,1.0
ERK,layer1.1.conv1,1.0,27.64055249512819,27.64055323443199,31.91641081045357,31.91641154975737,27.640546635414534,31.91640384665284,0.9999997213115036,0.9999997586475372,192.00005,7.393038e-07,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9947916865348816,1.0,1.0,1.0
ERK,layer1.1.conv2,1.0,27.640537863753813,27.640545505821244,31.91640390768994,31.91641154975737,27.640543392388466,31.916403915888125,0.9999997238163147,0.9999997608168063,191.99994,7.642067e-06,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9947916865348816,1.0,1.0,1.0
ERK,layer1.2.conv1,1.0,27.640541787277016,27.64055323443199,31.916400102602395,31.91641154975737,27.64053687130297,31.91639629071547,0.999999447947283,0.9999995219060928,192.00005,1.1447155e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9947916865348816,1.0,1.0,1.0
ERK,layer1.2.conv2,1.0,27.640534646031924,27.640549922170507,31.916396273618787,31.91641154975737,27.640551806750068,31.916411226162566,0.9999999882927518,0.9999999898611783,192.0,1.5276139e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9947916865348816,1.0,1.0,1.0
ERK,layer2.0.conv1,1.0,32.895527283782435,32.89553110677611,35.248581463154565,35.24858528614824,32.8954871720558,35.24853949600403,0.9999986080133049,0.9999987009366804,271.529,3.8229937e-06,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,-0.9963171482086182,1.0,1.0,1.0
ERK,layer2.0.conv2,1.0,39.14077675723732,39.14077781906295,45.19581751513376,45.19581857695939,39.140753193138856,45.19580330728731,0.9999996098780715,0.9999996621441417,384.00012,1.0618256e-06,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9973958134651184,1.0,1.0,1.0
ERK,layer2.0.downsample.0,1.0,18.921909436960576,18.921910482006368,19.206680557732625,19.206681602778417,18.921906642101092,19.20667776287314,0.9999997970656673,0.9999998000745076,90.509674,1.0450458e-06,2.0,2.0,2.0,2.0,-0.9889514446258545,1.0,1.0,1.0
ERK,layer2.1.conv1,1.0,39.140756295762614,39.14077158156185,45.19580329116015,45.19581857695939,39.140773964833265,45.19581784148013,0.9999999812093842,0.9999999837268295,384.0,1.52858e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9973958134651184,1.0,1.0,1.0
ERK,layer2.1.conv2,1.0,39.1407105435316,39.14077158156185,45.195757538929136,45.19581857695939,39.14075612701519,45.19581091929049,0.9999998043556598,0.9999998305668722,384.0,6.103803e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9973958134651184,1.0,1.0,1.0
ERK,layer2.2.conv1,1.0,39.140748856428885,39.14077937843807,45.19578805495021,45.19581857695939,39.14077100560654,45.19581800100408,0.9999999852850292,0.9999999872564469,384.00015,3.052201e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9973958134651184,1.0,1.0,1.0
ERK,layer2.2.conv2,1.0,39.14074729459085,39.14077781906295,45.195788052487295,45.19581857695939,39.140715215880405,45.195757533152026,0.9999984404037631,0.9999986493483405,384.00012,3.0524472e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9973958134651184,1.0,1.0,1.0
ERK,layer2.3.conv1,1.0,39.140747275469636,39.14077781906295,45.19578803336608,45.19581857695939,39.14075872952429,45.195818199927,0.9999999903672693,0.9999999916578036,384.00012,3.0543593e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9973958134651184,1.0,1.0,1.0
ERK,layer2.3.conv2,1.0,39.1407705714701,39.14077158156185,45.19581756686764,45.19581857695939,39.14077399354323,45.19581787019009,0.9999999819428894,0.9999999843620644,384.0,1.0100918e-06,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9973958134651184,0.7672763466835022,1.0,1.0
ERK,layer3.0.conv1,0.7672763400607638,19.999600499644487,40.79038152076265,22.902260191481318,43.69304121259948,7.397422252388966,9.93002986305516,0.4405720852077154,0.5277553259811946,416.9638,20.790781,0.2222222222222222,51.2,14.229149123533507,14.229149123533507,-0.5664430260658264,0.6637364625930786,1.0,0.1253963831275068
ERK,layer3.0.conv2,0.5091315375434028,7.796646107824792,39.53853224674081,13.865842284806021,45.60772842372204,3.8422292780793312,5.132972077153464,0.23984885824029992,0.30938688083958854,391.82388,31.741886,0.1111111111111111,28.444444444444443,7.349009037017822,7.349009037017822,-0.17985180020332336,1.0014147758483887,1.0,0.005109212413096171
ERK,layer3.0.downsample.0,1.0,26.834242554071444,26.834257816793162,27.23813182953424,27.238147092255957,26.83424903017424,27.238139442898927,0.9999997149406029,0.9999997191674967,181.01935,1.5262722e-05,2.0,2.0,2.0,2.0,-0.9944757223129272,0.5096791386604309,1.0,1.0
ERK,layer3.1.conv1,0.5096791585286459,7.804513479310579,39.55978157623441,13.87704412214876,45.63231221907259,3.7521368277532505,5.201432378814691,0.23768760515919768,0.31726498822713795,392.24408,31.755268,0.1111111111111111,36.42856979370117,8.791566848754883,8.791566848754883,-0.18012282252311707,0.9994955062866211,1.0,0.004575261904606236
