prune_type,layer,sparsity,sm,sm_ub,rm,rm_ub,ism,irm,ism_norm,irm_norm,t1m,t2m,ep,imax_ep,i_mean_ep,num_sub_regulars,random_factor,copeland_score,compatibility,overlap_coefs
ERK,features.0,1.0,12.738791968805932,12.738793927508956,13.036271488083532,13.036273446786556,12.738789999613509,13.03626772216042,0.9999995506148102,0.9999995608694342,41.569217681884766,1.958703023774433e-06,2.3703703703703702,2.3703703703703702,2.3703703703703702,2.3703703703703702,-0.9759437441825867,1.0,1.0,1.0
ERK,features.3,1.0,27.640544488598493,27.640552130344872,31.91640390801099,31.91641154975737,27.64055408900226,31.91641130024057,0.9999999909728003,0.9999999921821787,192.00003051757812,7.641746378794778e-06,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9947916865348816,1.0,1.0,1.0
ERK,features.7,1.0,32.89551767803969,32.895532962200015,35.248570001987915,35.24858528614824,32.8955042905833,35.24855475910773,0.9999990720004804,0.9999991339499086,271.5290222167969,1.5284160326700658e-05,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,-0.9963171482086182,1.0,1.0,1.0
ERK,features.10,1.0,39.14071833530737,39.14077937843807,45.19575753382869,45.19581857695939,39.1407136607907,45.195757537437565,0.9999984405131914,0.9999986494431621,384.0001525878906,6.104313069954515e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9973958134651184,1.0,1.0,1.0
ERK,features.14,1.0,46.564279064407245,46.56428006245103,49.89510933200227,49.89511033004606,46.56428572235148,49.89509501759863,0.9999996711547883,0.9999996931072538,543.0580444335938,9.980437880585669e-07,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,-0.9981585741043091,1.0,1.0,1.0
ERK,features.17,1.0,55.38950136801559,55.38953190035663,63.958271093137576,63.95830162547862,55.38950798155291,63.958271095120274,0.9999994488064142,0.999999522652141,768.0000610351562,3.053234104299918e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9986979365348816,1.0,1.0,1.0
ERK,features.20,1.0,55.38946018085767,55.38955173501813,63.958210071318156,63.95830162547862,55.38942305044593,63.95817955245946,0.9999977960999881,0.9999980913655295,768.0006103515625,9.155416046269238e-05,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.9986979365348816,0.7867363691329956,1.0,1.0
ERK,features.24,0.7867363823784722,29.693418555430675,58.43822484510353,33.863740087487486,62.60854637716034,9.500636301709896,14.152713145127885,0.4331342173811558,0.5487115734891863,854.7565307617188,28.74480628967285,0.2222222222222222,102.4,22.731227812513534,22.731227812513534,-0.5956279039382935,0.6659210324287415,1.0,0.15181568886654112
ERK,features.27,0.5238371955023872,11.712663307700666,56.724801674399885,20.454943325673625,65.46708169237284,4.105899005056462,7.1068721030048785,0.19122348593806768,0.3210707862058065,805.42578125,45.01213836669922,0.1111111111111111,85.0,16.714820861816406,16.714820861816406,-0.1934184730052948,1.0000133514404297,1.0,0.005868197140349608
ERK,features.30,0.5237464904785156,11.722716630679308,56.719649614077746,20.4644732206809,65.46140620407934,4.212846999215923,7.119289673671054,0.19781844935130233,0.3204830453820615,805.2796630859375,44.99693298339844,0.1111111111111111,84.83333587646484,14.826375961303711,14.826375961303711,-0.19355052709579468,0.9997570514678955,1.0,0.006132271402776237
ERK,features.34,0.5235197279188368,11.735072238578404,56.705878360404576,20.476410142019176,65.44721626384535,4.33070989898528,7.184819662329807,0.20134109067179193,0.32195526501329247,804.88916015625,44.97080612182617,0.1111111111111111,84.83333587646484,14.869842529296875,14.869842529296875,-0.19370634853839874,1.001142144203186,1.0,0.006050215350901963
