Unnamed: 0,val_acc,test_acc,epoch,train_loss,prune_type
0,0.406,0.4114,1,1.741097684259768,ERK
1,0.5498,0.5502,2,1.2668559746524888,ERK
2,0.5458,0.5489,3,1.0269765830107904,ERK
3,0.7132,0.7196,4,0.8990109430419074,ERK
4,0.72,0.7283,5,0.8127289431387203,ERK
5,0.67,0.689,6,0.7570845687661076,ERK
6,0.6442,0.6583,7,0.7219923320319238,ERK
7,0.6986,0.7242,8,0.6887551924781582,ERK
8,0.7636,0.7688,9,0.6618197881258451,ERK
9,0.6982,0.7193,10,0.651526711859934,ERK
10,0.755,0.7742,11,0.624588647714028,ERK
11,0.7796,0.7802,12,0.6030086944585512,ERK
12,0.7636,0.7668,13,0.6051206936863412,ERK
13,0.7192,0.7372,14,0.5946921758841924,ERK
14,0.7256,0.7462,15,0.5816368633016222,ERK
15,0.698,0.7141,16,0.5811858932007412,ERK
16,0.7176,0.7432,17,0.5715836903817972,ERK
17,0.7618,0.7749,18,0.5623354564534973,ERK
18,0.7644,0.7637,19,0.5514571716812601,ERK
19,0.7414,0.7581,20,0.5510927378452062,ERK
20,0.7702,0.7793,21,0.5497084594520069,ERK
21,0.7744,0.7769,22,0.543460743125008,ERK
22,0.757,0.76,23,0.5329413008146476,ERK
23,0.79,0.8025,24,0.5275016371001545,ERK
24,0.7804,0.7847,25,0.5371349816478556,ERK
25,0.685,0.6942,26,0.5271777637154288,ERK
26,0.768,0.7704,27,0.5303015787037689,ERK
27,0.7394,0.7378,28,0.5112888974341911,ERK
28,0.7676,0.7787,29,0.5176837661667087,ERK
29,0.7764,0.79,30,0.5122254122356404,ERK
30,0.7758,0.7787,31,0.5055759332628331,ERK
31,0.7468,0.747,32,0.4961410357571735,ERK
32,0.755,0.7605,33,0.5019375327815357,ERK
33,0.7458,0.7436,34,0.502215866986503,ERK
34,0.8194,0.8249,35,0.5034075730037145,ERK
35,0.8292,0.8365,36,0.5068550750910387,ERK
36,0.813,0.8153,37,0.4977306348306161,ERK
37,0.7808,0.7987,38,0.4965772505669172,ERK
38,0.8098,0.8191,39,0.5001008677856196,ERK
39,0.7584,0.7688,40,0.4907929942309007,ERK
