Unnamed: 0,val_acc,test_acc,epoch,train_loss,prune_type
0,0.0524,0.0592,1,4.409726734161377,ERK
1,0.063,0.0693,2,3.9370593057359966,ERK
2,0.122,0.1326,3,3.595239291872297,ERK
3,0.1804,0.1867,4,3.249641398021153,ERK
4,0.226,0.2384,5,2.941327945164272,ERK
5,0.261,0.2869,6,2.7007124710083006,ERK
6,0.307,0.3251,7,2.511477203369141,ERK
7,0.3082,0.3261,8,2.371231576374599,ERK
8,0.3292,0.3448,9,2.267536119733538,ERK
9,0.2974,0.3071,10,2.163765664781843,ERK
10,0.3724,0.3934,11,2.084800762448992,ERK
11,0.3482,0.3714,12,2.0286546891076225,ERK
12,0.4314,0.4571,13,1.961834435462952,ERK
13,0.3356,0.3492,14,1.9103366136550903,ERK
14,0.409,0.4391,15,1.8704285608019149,ERK
15,0.3992,0.4292,16,1.8534527342660083,ERK
16,0.3922,0.4184,17,1.7937270600455149,ERK
17,0.409,0.4371,18,1.7758423818860736,ERK
18,0.4394,0.461,19,1.7352904169900076,ERK
19,0.461,0.486,20,1.712618557385036,ERK
20,0.4698,0.4878,21,1.6873333529063634,ERK
21,0.4014,0.4091,22,1.6653612218584333,ERK
22,0.4524,0.4664,23,1.6622992672239032,ERK
23,0.476,0.4923,24,1.62758168561118,ERK
24,0.4818,0.5016,25,1.61577428817749,ERK
25,0.4186,0.4529,26,1.6102007518495831,ERK
26,0.4438,0.4658,27,1.5872059849330358,ERK
27,0.4734,0.4923,28,1.5661667564937047,ERK
28,0.4666,0.482,29,1.55475818838392,ERK
29,0.4918,0.5184,30,1.5594786385127477,ERK
30,0.461,0.4889,31,1.5304020234516689,ERK
31,0.4646,0.4775,32,1.5302124568394253,ERK
32,0.4684,0.5013,33,1.5293987451280866,ERK
33,0.4664,0.4818,34,1.5220650162015643,ERK
34,0.5028,0.5113,35,1.5030576099668231,ERK
35,0.5014,0.5206,36,1.5081159905024937,ERK
36,0.4744,0.4979,37,1.487384045464652,ERK
37,0.4614,0.4737,38,1.4753142043522427,ERK
38,0.475,0.4979,39,1.4666230481011526,ERK
39,0.5016,0.5248,40,1.4643379838126047,ERK
40,0.4836,0.5097,41,1.4521796669278826,ERK
41,0.4464,0.457,42,1.4543991708755493,ERK
42,0.4308,0.4563,43,1.4504693181174142,ERK
43,0.4918,0.5147,44,1.4390152754102434,ERK
44,0.5136,0.5242,45,1.4383094951084685,ERK
45,0.522,0.5323,46,1.42862183707101,ERK
46,0.5038,0.5236,47,1.4393189334869383,ERK
47,0.492,0.5072,48,1.4196259450912476,ERK
48,0.499,0.5252,49,1.4180690363475257,ERK
49,0.5122,0.5339,50,1.4185248701913016,ERK
50,0.4634,0.4949,51,1.4069353423799786,ERK
51,0.4854,0.5038,52,1.3999742378507345,ERK
52,0.4608,0.4823,53,1.3966682924543108,ERK
53,0.5048,0.528,54,1.3855881602423532,ERK
54,0.5056,0.523,55,1.386310601234436,ERK
55,0.4768,0.514,56,1.391761350631714,ERK
56,0.513,0.5298,57,1.3816283743722098,ERK
57,0.4562,0.4928,58,1.3853221566336495,ERK
58,0.484,0.5065,59,1.3788174840382168,ERK
59,0.4484,0.4527,60,1.3872936371394566,ERK
60,0.511,0.5144,61,1.354685183252607,ERK
61,0.466,0.4713,62,1.3763065930775231,ERK
62,0.4868,0.5205,63,1.3564550338472638,ERK
63,0.5002,0.5167,64,1.3598449741091048,ERK
