prune_type,layer,sparsity,sm,sm_ub,rm,rm_ub,ism,irm,ism_norm,irm_norm,t1m,t2m,ep,imax_ep,i_mean_ep,num_sub_regulars,random_factor,copeland_score,compatibility,overlap_coefs
iterSNIP,layer1.2.conv2,0.4752604166666667,3.8574569078690644,20.543518766999924,5.6634636425684945,22.349525501699354,3.379277045682911,4.017894662434767,0.40361670550458467,0.4434689215019608,106.50904083251953,16.68606185913086,0.12800000607967377,12.8,6.143014907836914,6.143014907836914,-0.13263848423957825,1.1540884971618652,1.0,0.10122931876420731
iterSNIP,layer2.0.conv1,0.5528157552083334,-1.6060496972714233,25.88172419799225,-0.1700016073481052,27.317772287915567,3.554992912941775,4.9628873574282135,0.3629604902994419,0.44561084448377086,168.46591186523438,27.487773895263672,0.1961805522441864,27.75,11.737325668334961,11.737325668334961,0.03949928283691406,0.5828521847724915,1.0,0.19447557340856897
iterSNIP,layer2.0.conv2,0.2955593532986111,-7.0620882557937605,24.96360754498749,-6.092202930094178,25.933492870687072,2.487358734571434,3.45330888690375,0.2871514863355886,0.3497310433816588,156.79542541503906,32.02569580078125,0.11776649951934814,28.25,10.661001205444336,10.661001205444336,0.26681381464004517,0.6927952766418457,0.9655172413793104,0.040352773456921794
iterSNIP,layer2.0.downsample.0,0.7833251953125,9.298168307339584,17.25643933395091,9.342936378447796,17.301207405059124,5.3891355096276214,8.190942868215078,0.588277719193211,0.6858581350311086,75.44617462158203,7.958271026611328,1.828125,29.0,23.706350326538086,23.706350326538086,-0.672827422618866,0.32226255536079407,0.9572649572649573,1.0
iterSNIP,layer2.1.conv1,0.20774332682291666,-4.006764307956335,22.43189154531515,-3.1420070453746973,23.296648807896787,2.1705539110784007,3.017483517621704,0.262439619710291,0.32361034329537197,126.79743957519531,26.438655853271484,0.10951327532529831,19.399999618530273,9.549590110778809,9.549590110778809,0.10175281018018723,0.9472412467002869,1.0,0.047939271528982974
iterSNIP,layer2.1.conv2,0.21486409505208334,-8.527819104807634,22.26023440776561,-8.76509494445823,22.022958568115012,1.8694937419427564,2.950366410878928,0.22569118400342061,0.3088160320432052,124.87950897216797,30.788053512573242,0.1438596546649933,28.25,12.404398918151855,12.404398918151855,0.3001099228858948,0.9155130982398987,0.983739837398374,0.009677248014916314
iterSNIP,layer2.2.conv1,0.21427408854166666,-7.092570942647864,22.48952324985702,-6.444446022341129,23.137648170163754,2.0569999175275364,2.804798801767068,0.24568127412957044,0.30121180380522267,127.44466400146484,29.582094192504883,0.10323886573314667,19.799999237060547,8.485642433166504,8.485642433166504,0.2153468132019043,4.582759857177734,0.9901960784313726,0.040401251573345565
iterSNIP,layer2.2.conv2,0.22447374131944445,-8.228998648161706,22.621987832551184,-8.376366280178441,22.47462020053445,1.7934854870038532,3.0412640202056482,0.215505192576403,0.3111548655979471,128.93858337402344,30.85098648071289,0.1462264209985733,24.399999618530273,13.535070419311523,13.535070419311523,0.29397889971733093,1.022830605506897,0.9838709677419355,0.007977178845062159
iterSNIP,layer2.3.conv1,0.23909505208333334,-3.2241822967278857,23.422105621362935,-1.9978173108880206,24.6484706072028,2.2829594468766032,2.9733505634040163,0.27694814732906303,0.32010123457509293,138.1487579345703,26.64628791809082,0.09333333373069763,23.75,8.558564186096191,8.558564186096191,0.09319482743740082,1.5882554054260254,1.0,0.06419606149257594
iterSNIP,layer2.3.conv2,0.2305976019965278,-4.611269183291736,23.030772976742444,-5.059833581502222,22.582208578531958,2.1166069370672482,3.694111519017752,0.2486557493838182,0.36083334830568664,133.6041259765625,27.64204216003418,0.1538461595773697,30.5,15.794255256652832,15.794255256652832,0.19436632096767426,1.1299728155136108,1.0,0.013277178144660482
iterSNIP,layer3.0.conv1,0.2868109809027778,-11.194669928516316,29.287462029491497,-11.534037457668902,28.94809450033891,1.6416580368717355,4.287751582607031,0.1660901763651688,0.3444924471434918,215.43885803222656,40.48213195800781,0.1841868758201599,50.0,24.954980850219727,24.954980850219727,0.321259081363678,0.6458930373191833,1.0,0.059949868908952327
iterSNIP,layer3.0.conv2,0.12263997395833333,-6.445673615924257,28.43528494120465,-8.421758361023286,26.45920019610562,2.577398461747296,5.183547318125213,0.2598637039092855,0.406164208703537,203.141357421875,34.880958557128906,0.13291579484939575,46.0,23.993408203125,23.993408203125,0.11728063970804214,0.5697946548461914,0.9581151832460733,0.0020703933747412005
iterSNIP,layer3.0.downsample.0,0.559051513671875,7.043291187466526,22.059141254605198,6.596524763999092,21.612374831137764,5.267930165900065,9.872455278939203,0.5272567095970375,0.675052118830563,122.65142822265625,15.015850067138672,1.5078125,48.0,44.07999801635742,44.07999801635742,-0.42145460844039917,0.17645463347434998,0.9481865284974094,1.0
iterSNIP,layer3.1.conv1,0.0697597927517361,-22.905182093083106,21.5510938468583,-23.729332236064607,20.7269437038768,-0.34046961155193023,0.2849498504896009,-0.048555643124374735,0.019763187544009676,117.11241149902344,44.456275939941406,0.11858529597520828,22.14285659790039,10.243330001831055,10.243330001831055,0.3238919675350189,1.3138688802719116,1.0,0.0022787638316541497
iterSNIP,layer3.1.conv2,0.055580986870659724,-4.874923516141809,22.534706305635535,-8.28571835337117,19.123911468406174,1.5720762934033934,3.6041506934900323,0.17883023148155655,0.3327103756427222,127.9532470703125,27.409629821777344,0.22705882787704468,35.400001525878906,22.615053176879883,22.615053176879883,0.060404498130083084,1.0612304210662842,0.9481865284974094,0.0
iterSNIP,layer3.2.conv1,0.07236226399739583,-24.873933905748096,21.681291466566357,-25.730255425606337,20.824969946708116,-0.5262315474711624,0.15784539783779805,-0.07170056338860203,0.008514254033464055,118.51959991455078,46.55522537231445,0.12190082669258118,20.375,10.883662223815918,10.883662223815918,0.37188613414764404,0.8141269087791443,0.9943502824858758,0.0012207329280500012
iterSNIP,layer3.2.conv2,0.05726453993055555,-6.426040472256943,22.68273371292372,-9.75174159637465,19.357032588806014,1.6064503720488086,3.986439761354682,0.18115687336965539,0.35341991680892876,129.62660217285156,29.108774185180664,0.2521957457065582,35.599998474121094,26.040136337280273,26.040136337280273,0.07485607266426086,1.3477439880371094,0.9353233830845771,0.0
